Entity recognition,Prefix chunk 1,Prefix chunk 2,Prefix chunk 3,Prefix chunk 4,Prefix chunk 5,Prefix chunk 5
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,{.],,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,{first},,,,,
Suggested token,,,{last},,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
Suggested token,,,,,,
